PLAY "Jouer"
ANIMATE_MEDIUM_ITEMS_EFFECT_DESCRIPTION "Anime jusqu'à {1} objets moyens des environs."
ANIMATE_MEDIUM_ITEMS_EFFECT_NAME "animer des objets moyens"

ANIMATE_FURNITURE_EFFECT_DESCRIPTION "Anime jusqu'à {1} meubles des environs."
ANIMATE_FURNITURE_EFFECT_NAME "animer des meubles"

ANIMATE_WALLS_EFFECT_DESCRIPTION "Anime jusqu'à {1} murs de meubles des environs."
ANIMATE_WALLS_EFFECT_NAME "animer des murs"

APPEARS "{1} apparaît de nulle part !"

APPLYING_ITEM_TAKES_X_TURNS "Appliquer {1} prend {2} tours. Es-tu sûr de vouloir continuer ?"

ARCHERY_RANGE_TASK "Tirer au champ de tir"

ARM_BODY_PART "bras"
"bras" : plural

ARMOR_DEGRADATION_DESCRIPTION "Diminue la capacité de l'armure"
ARMOR_DEGRADATION_NAME "détérioration d'armure"

ARMOR_ENCHANTMENT_DESCRIPTION "Augmente la capacité de l'armure"
ARMOR_ENCHANTMENT_NAME "enchantement d'armure"

ARMOR_UPGRADE_TYPE "armure"

A_SEX_ACT_BETWEEN "un acte sexuel entre {1} et {2}"

ATTACK_ACTION "Attaquer"
ATTACK_CREATURES_TASK "Attaquer quelqu'un"

ATTACKER_AFFECTED_BY "attaquant affecté par : {1}"

AUDIENCE_EFFECT_DESCRIPTION "Invoque tous les combattants qui défendent le territoire"
AUDIENCE_EFFECT_NAME "audience"

AUDIENCE_SUMMONED "Ton audience a été convoquée, seigneur."
"Ton audience a été convoquée, dame." : feminine

AUDIENCE_SUMMONED2 "L'audience a été convoquée."

AUTOMATON_PART_EFFECT_DESCRIPTION "Attache une partie d'automate à la créature."
AUTOMATON_PART_EFFECT_NAME "attacher une partie d'automate"

AUTOMATONS "automates"

AVAILABLE_ITEMS_TITLE "Objets disponibles :"
AVAILABLE_STEEDS "Montures disponibles ({1}) :"

BACK_BODY_PART "dos"
"dos" : plural

BALSAMS_UPGRADE_HINT "Tu peux améliorer tes sbires en les créant en utilisant des baumes fabriqués au laboratoire."

BANISH_EFFECT_DESCRIPTION "La créature quittera son village pour toujours."
BANISH_EFFECT_NAME "bannir"

BASHES_FURNITURE "{1} heurte le/la {2}"

BECOMES "{1} devient {2}."

BED "lit"
"lits" : plural

BLEEDING_EFFECT_DESCRIPTION "Provoque un saignement."
BLEEDING_EFFECT_NAME "saignement"

BLOODY_WATER "eau ensanglantée"

BODIES_UPGRADE_TYPE "corps"

BODY_PART_GROWS_BACK_HELPER "repousse"
"repoussent" : plural

BODY_PART_IS_IN_BETTER_SHAPE_HELPER "est"
"sont" : plural

YOUR_BODY_PART_GROWS_BACK "Ta {1} {BODY_PART_GROWS_BACK_HELPER:1} !"
YOUR_BODY_PART_IS_IN_BETTER_SHAPE "Ta {1} {BODY_PART_IS_IN_BETTER_SHAPE_HELPER:1} en meilleur état."

HIS_BODY_PART_GROWS_BACK "Le/La {2} de {1} {BODY_PART_GROWS_BACK_HELPER:2} !"
HIS_BODY_PART_IS_IN_BETTER_SHAPE "Le/La {2} de {1} {BODY_PART_IS_IN_BETTER_SHAPE_HELPER:2} en meilleur état."

BODY_PART_NUMBER "{1} {2}"

BOILS_AND_EXPLODES "{1} bout et explose !"

BOULDER "rocher"

BREACH_TRIGGER "Violation du territoire"

BREAK_FREE "Tu te libères."

ALL_BUFF_ADJECTIVES_HELPER "{1}"

BUFF_ADJECTIVE_AGGRAVATES "provoque les ennemis"
BUFF_ADJECTIVE_ARCHER_VISION "peut voir à travers les meurtrières"
BUFF_ADJECTIVE_CAN_DANCE "peut danser toute la nuit"
BUFF_ADJECTIVE_CAPTURE_RESISTANCE "résistant à la capture"
BUFF_ADJECTIVE_DARKNESS_SOURCE "source d'obscurité"
BUFF_ADJECTIVE_DRUNK "ivre"
BUFF_ADJECTIVE_ELF_VISION "peut voir à travers les arbres"
BUFF_ADJECTIVE_ENTERTAINER "animateur"
BUFF_ADJECTIVE_FAST_CRAFTING "artisan rapide"
BUFF_ADJECTIVE_FAST_TRAINING "s'entraîne vite"
BUFF_ADJECTIVE_FLYING "volant"
BUFF_ADJECTIVE_HALLU "hallucinant"
BUFF_ADJECTIVE_INVISIBLE "invisible"
BUFF_ADJECTIVE_LIFE_SAVED "la vie sera sauvée"
BUFF_ADJECTIVE_LIGHT_SOURCE "source de lumière"
BUFF_ADJECTIVE_LOCKED_POSITION "position verrouillée"
BUFF_ADJECTIVE_NIGHT_VISION "peut voir dans l'obscurité"
BUFF_ADJECTIVE_NO_CARRY_LIMIT "capacité de charge infinie"
BUFF_ADJECTIVE_NO_FRIENDLY_FIRE "pas de tir ami"
BUFF_ADJECTIVE_PLAGUE_RESISTANT "résistant à la peste"
BUFF_ADJECTIVE_POISON_RESISTANT "résistant au poison"
BUFF_ADJECTIVE_POLYMORPHED "polymorphé"
BUFF_ADJECTIVE_PREGNANT "enceinte"
BUFF_ADJECTIVE_PSYCHIATRY "psychiatre"
BUFF_ADJECTIVE_RAGE "enragé"
BUFF_ADJECTIVE_RESTED "reposé"
BUFF_ADJECTIVE_RIDER "cavalier"
BUFF_ADJECTIVE_SATIATED "rassasié"
BUFF_ADJECTIVE_PLAGUE "infecté par la peste"
BUFF_ADJECTIVE_POISON "empoisonné"
BUFF_ADJECTIVE_SLEEP "endormi"
BUFF_ADJECTIVE_SLEEP_RESISTANT "résistant au sommeil"
BUFF_ADJECTIVE_SPEED "bonus de vitesse"
BUFF_ADJECTIVE_SPYING "espion"
BUFF_ADJECTIVE_STEED "monture"
BUFF_ADJECTIVE_SWARMER "essaim"
BUFF_ADJECTIVE_TELEPATHY "télépathe"
BUFF_ADJECTIVE_WARNING "conscient du danger"
BUFF_ADJECTIVE_PANIC "paniqué"
BUFF_ADJECTIVE_PEACEFULNESS "paisible"
BUFF_ADJECTIVE_ENTANGLED "empêtré"
BUFF_ADJECTIVE_TIED_UP "attaché"
BUFF_ADJECTIVE_IMMOBILE "immobile"
BUFF_ADJECTIVE_SLOWED "ralenti"
BUFF_ADJECTIVE_INSANITY "fou"
BUFF_ADJECTIVE_BLIND "aveugle"
BUFF_ADJECTIVE_STUNNED "inconscient"
BUFF_ADJECTIVE_COLLAPSED "rampant"
BUFF_ADJECTIVE_SUNLIGHT_VULNERABLE "vulnérable à la lumière du soleil"
BUFF_ADJECTIVE_SUMMONED "invoqué"
BUFF_ADJECTIVE_SLOW_CRAFTING "artisan lent"
BUFF_ADJECTIVE_SLOW_TRAINING "s'entraîne lentement"
BUFF_ADJECTIVE_BAD_BREATH "haleine fétide"
BUFF_ADJECTIVE_ON_FIRE "en feu"
BUFF_ADJECTIVE_FROZEN "gelé"
BUFF_ADJECTIVE_MAGIC_CANCELLATION "annulé"
BUFF_ADJECTIVE_DISAPPEAR_DURING_DAY "disparaît à l'aube"
BUFF_ADJECTIVE_UNSTABLE "mentalement instable"
BUFF_ADJECTIVE_OIL "couvert d'huile"
BUFF_ADJECTIVE_TURNED_OFF "éteint"

BUILD_FURNITURE_TASK "Construire {1} dans {2}"
BUILD_MORGUE_HINT "Construis une table de morgue pour créer des non-morts."

BURNED_DEATH_REASON "brûlé vif"
BURNS_IN "{1} brûle dans {2}"

BUTCHER_TITLE "le boucher de {1}"

CAGE "cage"
"cages" : plural

CAMPAIGN_DIFFICULTY "Difficulté"
CAMPAIGN_HELP_BUTTON "Aide"
CAMPAIGN_VILLAIN_DEFEATED "Vaincu"
CAMPAIGN_VILLAIN_EXP "Expérience : {1}"
CAMPAIGN_WORLD_NAME "Nom du monde : {1}"

CAMP_AND_SPAWN_TASK "Camper et générer"

CANCEL_CAPTURE_ORDER_ACTION "Annuler l'ordre de capture"

CAN_ENTER_POSITION "peut entrer en position"

CAN_NOT_AFFORD_ITEM "Tu ne peux pas te permettre cet objet."
CANNOT_AFFORD_ITEM "Tu ne peux pas te permettre cet objet"

CAN_SEE_IN_THE_DARK "{1} peut voir dans l'obscurité."
CAN_SEE_THRU_ARROWSLITS "{1} peut voir et tirer à travers les meurtrières."
CAN_SEE_THRU_TREES "{1} peut voir à travers les arbres."

CANT_MOVE_ANYMORE "{1} ne peut plus bouger."

CASTS_SPELL "{1} lance un sort"

CHANCE_EFFECT_DESCRIPTION "{1} ({2}% de chance)"

CHANCE_OF_PRISONER_ESCAPE "Probabilité d'évasion du prisonnier : "

GRANT_ABILITY_EFFECT_DESCRIPTION "Accorde une capacité"
GRANT_ABILITY_EFFECT_NAME "accorder une capacité"

CHANGE_NAME_EFFECT_DESCRIPTION "Change le nom de la créature en "{1}""
CHANGE_NAME_EFFECT_NAME "changer le nom"

CHANGE_SPRITE_EFFECT_DESCRIPTION "Change le sprite de la créature"
CHANGE_SPRITE_EFFECT_NAME "définir le sprite"

CHAT_ACTION "Parler"

CIVILIAN_STATUS "Civil"

CLAIM_TILE_EFFECT_DESCRIPTION "Revendique la case comme territoire du joueur"
CLAIM_TILE_EFFECT_NAME "revendiquer la case"

CLICK_TO "Clique pour {1}"

CLOSE_BUTTON "Fermer"

COFFIN "cercueil"
"cercueils" : plural

COLLAPSES "{1} s'effondre."

COLOR_VARIANT_EFFECT_DESCRIPTION "Change la variante de couleur d'une créature"
COLOR_VARIANT_EFFECT_NAME "changement de couleur"

COMMA "{1}, {2}"

COMMANDS_BUTTON "Commandes"

CONFIRM_BANISH "Veux-tu bannir {1} pour toujours ? Bannir a un impact négatif sur le moral des autres sbires."
CONFIRM_BUTTON "Confirmer"
CONFIRM_DISASSEMBLE "Veux-tu désassembler {1} ?"
CONFIRM_NO_RETIRED_DUNGEONS "Les diablotins seront tristes si tu n'ajoutes pas de donjons retirés. Continuer ?"

CONSUMABLES_LABEL "Consommables"

CONSUME_ITEM_TASK "Consommer un objet"

YOU_ABSORB "Tu absorbes {1}."
ABSORBS "{1} absorbe {2}."

CONTINUE_BUTTON "Continuer"

CONTROL_MINION_BUTTON "Contrôler"

COPULATE_TASK "Copuler avec {1}"
YOU_COPULATE "Tu copules avec {1}."
COPULATES "{1} copule avec {2}."

COPY_SETTING_TO_GROUP "Copier la configuration vers tous les {1}"

CORPSE_ITEM "cadaver de {1}"

CRAFTED_FROM "Fabriqué à partir de {1}"
CRAFTED_ITEMS_LABEL "Objets fabriqués"
CRAFTING_UPDATE_FOR "Amélioration de fabrication pour {1} :"

IS_CRAWLING "{1} rampe."
YOU_CRAWLING "Tu rampes."

CREATE_FURNITURE_DESCRIPTION "Crée un/une {1}"
CREATE_ITEMS_DESCRIPTION "Crée des objets"
CREATE_ITEMS_NAME "créer des objets"

CREATURE_REQUIRES_QUARTERS "La créature a besoin de quartiers personnels pour profiter de l'expérience de combat."
CREATURE_REQUIRES_QUARTERS_WITH_LUXURY "La créature a besoin de quartiers personnels avec {1} unités de luxe."

CREATURES_AFFECTED_BY "affectées par {1}"
CREATURES_EXP_LEVEL_BELOW "avec un niveau d'expérience inférieur à {1}"
CREATURES_HOLDING_INGREDIENT "qui tiennent {1}"
CREATURES_MADE_OF_MATERIAL "faites de {1}"
CREATURES_WITH_HEALTH_BETWEEN "avec une santé entre {1} et {2}"

CREATURE_TITLE "{1} le/la {2}"

CURRENTLY_NOT_RIDING_STEED "Ne monte actuellement pas."
CURRENTLY_RIDING_STEED "Monte actuellement."

CUTS_FURNITURE "{1} coupe le/la {2}."

DANCE_TASK "Danser"

DEATH "Mort"

DEBT_BUTTON "Dette"

DEMAND_GOLD "{1} exige {2} d'or pour ne pas attaquer. Accepter ?"

DEPICTS "Représente {1}"

DESCRIPTION_EFFECT_NAME "effet de description"

DESTROY_EQUIPMENT_EFFECT_DESCRIPTION "Détruit une pièce d'équipement aléatoire."
DESTROY_EQUIPMENT_EFFECT_NAME "destruction d'équipement"

DESTROYS_FURNITURE "{1} détruit le/la {2}"

DESTROY_WALLS_EFFECT_DESCRIPTION "Détruit le terrain et les objets."
DESTROY_WALLS_EFFECT_NAME "destruction"

DEVELOPS_ATTACK "{1} développe une attaque de {2}."

DIES_OF "{1} meurt de {2}."
DIES_OF_POISONING "{1} meurt par empoisonnement."

DIGGING_TASK_HIGHLIGHT "Tâche d'excavation"

DIGS_INTO_FURNITURE "{1} creuse dans le/la {2}."

DISAPPEARS "{1} disparaît !"

DISAPPEAR_TASK "Disparaître"

DISARMS "{1} désarme {2}."
YOU_DISARM "Tu désarmes {1}."

DISASSEMBLE_MINION_BUTTON "Désassembler"
DISASSEMBLES "{1} désassemble {2}"
DISASSEMBLE_TASK "Désassembler {1}"

DISMISS_AND_DONT_ASK_AGAIN "Ignorer et ne plus demander"
DISMISS_FOR_200_TURNS "Ignorer pendant 200 tours"

DISMOUNT_BUTTON "Descendre"

DOES_NOT_TRIGGER_ENEMIES "Ne provoque pas les ennemis en attaquant"

DONT_CHASE_TEAM_ORDER_DESCRIPTION "Les membres de l'équipe ne se déplaceront pas vers les ennemis et ne combattront que ceux qui sont adjacents."
DONT_CHASE_TEAM_ORDER " Ne pas poursuivre "

DOUBLE_TROUBLE_EFFECT_DESCRIPTION "Crée un allié jumeau."
DOUBLE_TROUBLE_EFFECT_NAME "double problème"

DROP_ITEMS_ANYWHERE_TASK "Lâcher des objets n'importe où"
DROP_ITEMS_TASK "Lâcher des objets"

DROWNED_DEATH_REASON "noyé"
DROWNS_IN "{1} se noie dans {2}."

DUEL_TASK "Tâche de duel : {1}"

DUNGEON_CONQUER_RATE "Taux de conquête : {1}/{2}"
DUNGEON_CONQUER_RATE_TIP "Nombre de fois que ce donjon a été conquis par rapport au nombre de fois qu'il a été chargé."
DUNGEON_MODS_TIP "Ces mods peuvent être nécessaires pour charger ce donjon :"

DURING_CERTAIN_TIME_OF_DAY "pendant un certain moment de la journée"
DURING_THE_DAY "pendant la journée"

EAT_TASK "Manger"

EFFECT_WHEN_EQUIPED "Effet quand équipé : {1}"

EIGHT "huit"
ELEVEN "onze"

ENEMIES "ennemis"

ENTER_A_NAME_FOR "Entre un nom pour {1}"
ENTER_FIRST_NAME "Entre le prénom :"
ENTER_MESSAGE "Entre un message"
ENTER_PORTAL "Tu entres dans {1}."
ENTER_SETTLEMENT_NAME "Entre le nom de la colonie :"

EQUIP_ITEM_TASK "Équiper {1}"

EQUIPMENT_STORAGE_HIGHLIGHT "Stockage d'équipement"

ERROR_DOWNLOADING_FILE "Erreur lors du téléchargement du fichier"
ERROR "Erreur"
ERROR_SENDING_BUG_REPORT "Une erreur est survenue lors de l'envoi du rapport de bug : {1}"
ERROR_UPLOADING_FILE "Erreur lors du téléversement du fichier"
ERROR_UPLOADING_MOD "Erreur lors du téléversement du mod :"

ESCAPE_EFFECT_DESCRIPTION "Téléporte vers un endroit plus sûr à proximité."
ESCAPE_EFFECT_NAME "évasion"

EXCEEDS_POP_LIMIT "Dépasse la limite de population"

EXECUTES "{1} exécute {2}"

EXIT_CONTROL_MODE "Quitter le mode de contrôle"

EXTRA_BODY_PART "Partie supplémentaire : {1}"
EXTRA_BODY_PARTS "{1} {2} supplémentaire"

EXTRA_TRAINING_POTENTIAL "Potentiel d'entraînement supplémentaire de {1}"

FAILED_TO_LOAD_SAVE "Échec du chargement de la sauvegarde :("
FAILED_TO_LOAD_TUTORIAL "Échec du chargement du tutoriel :("

FALLS_APART "{1} se désintègre."

FASTER "mouvement plus rapide"

FEELS_LIKE_DOING_SOME_WORK "{1} a envie de travailler."
FEELS_LAZY "{1} se sent paresseux."
FEELS_LIKE_WORKING_OUT "{1} a envie de s'entraîner."

FETCHING_ITEMS_HIGHLIGHT "Collecte d'objets"

FIGHTER_STATUS_DESCRIPTION "Doit être éliminé pour conquérir la tribu"
FIGHTER_STATUS "Combattant"

FILLS_FURNITURE "{1} remplit le/la {2}."

FINISHING_YOU_TRIGGER "En train de t'achever"

FIRE_SCROLL_DESCRIPTION "S'enflamme lui-même."

FIVE "cinq"

FLANKED_HINT "Débordé : défense réduite de {1}%."

RESOURCE_DOUBLE_CLICK_HINT "Double-clic pour sélectionner tout le gisement de ressources."

FORBIDDEN_ZONE_HIGHLIGHT "Zone interdite"

FOUR "quatre"

FREEZES_AND_EXPLODES "{1} gèle et explose !"

FULLY_HEALED "complètement guéri"

FURNITURE_BANG "BANG !"
FURNITURE_BURNS_DOWN "Le/La {1} brûle complètement."
FURNITURE_CATCHES_FIRE "Le/La {1} prend feu."
FURNITURE_CRASH "CRASH !"
FURNITURE_DISSOLVES "Le/La {1} se dissout."
FURNITURE_FALLS "Le/La {1} tombe."
FURNITURE_FREEZES "Le/La {1} gèle."
FURNITURE "meuble"
FURNITURE_IS_DESTROYED "Le/La {1} est détruit(e)."
FURNITURE_IS_DUG_OUT "Le/La {1} est creusé(e)."
FURNITURE_IS_FILLED "Le/La {1} est rempli(e)."
FURNITURE_MELTS "Le/La {1} fond."
FURNITURE_STOPS_BURNING "Le/La {1} cesse de brûler."

GAME_OVER "Fin du jeu"

GAME_STATS_QUESTION "Le jeu souhaite collecter des statistiques pendant que tu joues et les envoyer anonymement au développeur. Acceptes-tu ?"

GAS_RELEASED "Un nuage de {1} est libéré."
GAS_RELEASED_UNSEEN "Tu entends un sifflement."

GHOST "Fantôme"

GIVE_GOLD_TO "Donner {2} d'or à {1} ?"
GIVE_HOW_MANY "Donner combien de {1} ?"
BUY_HOW_MANY "Acheter combien de {1} ?"
GIVE_ITEM_TO "Donner {1} à {2} ?"
GIVE_WHOM "Donner à qui ?"

GLYPH_LABEL "[{1}]"

GO_BACK_BUTTON "Retour"

GRANTS_ABILITY "Accorde la capacité : {1}"
GRANTS_BUFF "accorde {1}"

GROUP_JOINS_YOUR_FORCES "Un {1} de {2} {3} rejoint tes forces."

GROWS_LIMB "{1} fait pousser {2}."
GROWS_LIMBS "{1} fait pousser {2}."

GUARD_ZONE1_HIGHLIGHT "Zone de garde 1"
GUARD_ZONE2_HIGHLIGHT "Zone de garde 2"
GUARD_ZONE3_HIGHLIGHT "Zone de garde 3"

HAS_BEEN_CAPTURED_BY_ENEMY "{1} a été capturé par l'ennemi."
HAS_GONE_BERSERK "a enragé !"

HAS_REVIVED "{1} a ranimé {2}."
YOU_HAVE_REVIVED "Tu as ranimé {1}."

HAS_SUMMONED_DEMON "{1} a invoqué un démon amical."

HAVE_GONE_BERSERK "Tu es entré en rage."

HEALING_EFFECT_DESCRIPTION "Restaure complètement la santé."
HEALING_EFFECT_NAME "guérison"

HIDDEN "caché"

HIS_BODY_CRUMBLES_TO_DUST "Le corps de {1} se réduit en poussière."
HIS_BODY_PART_IS_BITTEN_OFF "{1} se fait arracher le/la {2} !"
HIS_BODY_PART_IS_BROKEN "Le/La {2} de {1} est cassé(e)."
HIS_BODY_PART_IS_CHOPPED_OFF "Le/La {2} de {1} est tranché(e)."
HIS_BODY_PART_IS_CRUSHED "Le/La {2} de {1} est écrasé(e)."
HIS_BODY_PART_IS "{1} a son/sa {2} {3}."
HIS_BODY_PART_IS_RIPPED_TO_PIECES "Le/La {2} de {1} est mis(e) en pièces."

HIS_IDENTITY_IS_UNCOVERED "L'identité de {1} est révélée."
HIS_LIFE_WILL_NO_LONGER_BE_SAVED "La vie de {1} ne sera plus sauvée."
HIS_SKULL_IS_SHATTERED "Le crâne de {1} est fracassé."
HIS_STOMACH_RECEIVES_A_DEADLY_BLOW "L'estomac de {1} reçoit un coup mortel."

HOME_MAP_BIOME "Biome de la carte de départ : {1}"

HOSTILE_MAGICAL_FIELD_HIGHLIGHT "Champ magique hostile"

HUMANOID "un humanoïde"

IDLE_TASK "Inactif"

ILLUSION "Illusion"

IMMEDIATE_TRIGGER "Immédiat"

IMMIGRANT_ATTR_BONUS "{1} {2}"
IMMIGRANT_AUTO_ACCEPTED "(L'immigrant sera automatiquement accepté)"
IMMIGRANT_AUTO_REJECTED "(L'immigrant sera automatiquement rejeté)"
IMMIGRANT_COMPANION "compagnon {1}"
IMMIGRANT_TURNS_LEFT "Tours restants : {1}"
IMMIGRANT_WONT_JOIN_DURING "L'immigrant ne rejoindra pas pendant {1}."

IMPORTANT_TITLE "Important !"

IMPROVES "{1} améliore {2} {3} de {4}"

INCLUDE_SAVE_FILE "Inclure le fichier de sauvegarde"
INCLUDE_SCREENSHOT "Inclure la capture d'écran"

INCREASE_DAMAGE_OR_DEFENSE_BY_ONE "Augmente les dégâts ou la défense de 1"

IN_GAS "dans {1}"
INGREDIENT_ON_THE_GROUND "au sol {1}"
INJURED_BODY_PART "{1} blessé(e)"
INSIDE_AN_ANIMAL_PEN "à l'intérieur d'un enclos"

INSUFFICIENT_LIGHT_HIGHLIGHT "Lumière insuffisante"

IN_TERRITORY "en territoire"

INTRINSIC_ATTACK_INACTIVE "Inactif"

IS_AWARE_OF_DANGER "{1} est conscient du danger."
IS_BITTEN_IN_THE_NECK "{1} est mordu au cou !"
IS_BURNING "{1} brûle."
IS_BURNT_BY_THE_SUN "{1} brûle à cause du soleil."
IS_CONVERTED "{1} se convertit à ton camp."
IS_CRITICALLY_WOUNDED "{1} est grièvement blessé."
IS_CUT_IN_HALF "{1} est coupé en deux."
IS_DESTROYED_BY "{1} est détruit par {2}."
IS_FLYING "{1} vole."
IS_MOVING_FASTER_AGAIN "{1} se déplace à nouveau plus vite."
IS_MOVING_SLOW_AGAIN "{1} se déplace à nouveau plus lentement."
IS_NO_LONGER_BLIND "{1} n'est plus aveugle."
IS_NO_LONGER_FUNNY "{1} n'est plus drôle."
IS_NO_LONGER_HALLU "{1} n'hallucine plus."
IS_NO_LONGER_PLAGUE_RESISTANT "{1} n'est plus résistant à la peste."
IS_NO_LONGER_POISON_RESISTANT "{1} n'est plus résistant au poison."

LESS_UNDERSTANDING "moins de compréhension"
MORE_UNDERSTANDING "plus de compréhension"

IS_NO_LONGER_RESTED "{1} n'est plus reposé."
IS_NO_LONGER_SATIATED "{1} n'est plus rassasié."
IS_NO_LONGER_SLEEP_RESISTANT "{1} n'est plus résistant au sommeil."
IS_NO_LONGER_SWARMER "{1} n'est plus un essaim."
IS_NO_LONGER_VULNERABLE_TO_SUNLIGHT "{1} n'est plus vulnérable à la lumière du soleil."

IS_NOT_HURT "{1} n'est pas blessé."
IS_RIPPED_TO_PIECES "{1} est mis en pièces."
IS_SHOT_IN_THE "{1} reçoit une balle dans le/la {2}."
IS_STABBED_IN_THE "{1} est poignardé dans le/la {2}."
IS_TURNED_OFF "{1} est éteint."
IS_TURNED_ON "{1} est allumé."
IS_UNABLE_TO_CAST_SPELLS "{1} ne peut pas lancer de sorts."
IS_UNCONCIOUS "{1} est inconscient."
IS_WOUNDED "{1} est blessé."

ITEM_COUNT "{2} {1}"

ITEM_CRASHES_ON_THE "{2} tombe sur le/la {1}"
ITEMS_CRASH_ON_THE "{2} tombent sur le/la {1}"
ITEM_CRASHES_ON "{2} tombe sur {1}"
ITEMS_CRASH_ON "{2} tombent sur {1}"
ITEM_CRASHES_ON_YOU "{1} te tombe dessus."

ITEM_HITS_THE "{2} heurte le/la {1}"
ITEMS_HIT_THE "{2} heurtent le/la {1}"
ITEM_HITS_YOU "{1} te heurte."

ITEM_MAY_HURT_MINION "Cet objet pourrait blesser ton sbire. Continuer ?"
ITEM_MISSES_YOU "{1} te manque et ne te touche pas."

ITEMS_CRASH_ON_YOU "{1} te tombent dessus."
ITEMS_HIT_YOU "{1} te heurtent."
ITEMS_MISS_YOU "{1} te manquent."

ITEM_USED_UP "{1} est épuisé."

ITSELF "lui-même/elle-même"

JOINS_YOUR_FORCES "{1} rejoint tes forces."

KEEPER "gardien"
KEEPER_F "gardienne"

KEY_ENTER "[Entrée]"
KEY_MODIFIER "{1} + {2}"

KILLED_BY_SUNLIGHT "tué par la lumière du soleil"
KILLED_BY_TORTURE "tué par la torture"
KILLED_BY "tué par {1}"

IS_KILLED_BY "{1} est {2} par {3}."
YOU_KILLED_BY "Tu es {2} par {1}."

KILLED_MEMBERS_TRIGGER "Membres de la tribu tués"
KILL_TASK "Tuer {1}"

KILL_TITLES_HINT "Les titres sont attribués pour avoir tué des chefs de tribu. Ils peuvent augmenter chaque attribut jusqu'à sa valeur de base."

KNIGHT_NAME "chevalier"

KRAKEN "kraken"
KRAKEN_TENTACLE "tentacule de kraken"

LEARNS "{1} apprend le/la {2} de {3}."

LEG_BODY_PART "jambe"
"jambes" : plural

LEGENDARY_BEAST "bête légendaire"
LEGENDARY_HUMANOID "humanoïde légendaire"

LOCATION_TOO_DANGEROUS_HINT "Emplacement trop dangereux pour construire"

LOCK_DOOR_ACTION "Verrouiller"

LOCKED_ITEMS_HINT "Les objets verrouillés ne seront pas automatiquement échangés par le sbire."

LOCK_POSITION_BUTTON "Verrouiller la position"
LOCK_POSITION_TOOLTIP "Si activé, cela empêchera les autres sbires d'échanger leur position avec cet automate. Tu peux toujours le pousser en mode contrôle."

